,pretty_formula,band_gap,comp,eneg_diff,atom_frac,molec_weight,group_num
0,BN,5.6697,B1 N1,1.0,0.5,24.817700000000002,13
1,TlN,0.0,Tl1 N1,1.42,0.5,218.39,13
2,BN,1.1552000000000002,B1 N1,1.0,0.5,24.817700000000002,13
3,GaN,0.0,Ga1 N1,1.23,0.5,83.7297,13
4,BN,3.9556,B1 N1,1.0,0.5,24.817700000000002,13
5,BN,0.28200000000000003,B1 N1,1.0,0.5,24.817700000000002,13
6,GaN,0.0,Ga1 N1,1.23,0.5,83.7297,13
7,AlN,3.468300000000001,Al1 N1,1.43,0.5,40.9882386,13
8,GaN,1.3711,Ga1 N1,1.23,0.5,83.7297,13
9,GaN,1.9046000000000003,Ga1 N1,1.23,0.5,83.7297,13
10,TlN,0.0,Tl1 N1,1.42,0.5,218.39,13
11,GaN,1.7375999999999996,Ga1 N1,1.23,0.5,83.7297,13
12,BN,1.1919,B1 N1,1.0,0.5,24.817700000000002,13
13,GaN,0.0968,Ga1 N1,1.23,0.5,83.7297,13
14,GaN,0.0,Ga1 N1,1.23,0.5,83.7297,13
15,BN,4.2704,B1 N1,1.0,0.5,24.817700000000002,13
16,BN,5.363,B1 N1,1.0,0.5,24.817700000000002,13
17,BN,0.0029999999999998916,B1 N1,1.0,0.5,24.817700000000002,13
18,InN,0.47770000000000046,In1 N1,1.26,0.5,128.8247,13
19,BN,4.0020999999999995,B1 N1,1.0,0.5,24.817700000000002,13
20,GaN,0.03639999999999999,Ga1 N1,1.23,0.5,83.7297,13
21,GaN,0.0,Ga1 N1,1.23,0.5,83.7297,13
22,GaN,0.0,Ga1 N1,1.23,0.5,83.7297,13
23,BN,4.4847,B1 N1,1.0,0.5,24.817700000000002,13
24,AlN,4.5541,Al1 N1,1.43,0.5,40.9882386,13
25,BN,4.0137,B1 N1,1.0,0.5,24.817700000000002,13
26,GaN,0.5091000000000001,Ga1 N1,1.23,0.5,83.7297,13
27,InN,0.038000000000000256,In1 N1,1.26,0.5,128.8247,13
28,BN,0.7450000000000001,B1 N1,1.0,0.5,24.817700000000002,13
29,GaN,0.00990000000000002,Ga1 N1,1.23,0.5,83.7297,13
30,GaN,0.08749999999999991,Ga1 N1,1.23,0.5,83.7297,13
31,BN,3.5021000000000004,B1 N1,1.0,0.5,24.817700000000002,13
32,BN,0.0,B1 N1,1.0,0.5,24.817700000000002,13
33,BN,1.4857999999999998,B1 N1,1.0,0.5,24.817700000000002,13
34,BN,4.6482,B1 N1,1.0,0.5,24.817700000000002,13
35,GaN,0.0,Ga1 N1,1.23,0.5,83.7297,13
36,GaN,0.0,Ga1 N1,1.23,0.5,83.7297,13
37,GaN,0.0,Ga1 N1,1.23,0.5,83.7297,13
38,B9N,0.0,B9 N1,15.32,0.9,111.3057,13
39,TlN3,2.0640999999999994,Tl1 N3,7.500000000000001,0.25,246.40339999999998,13
40,GaN,0.026200000000000223,Ga1 N1,1.23,0.5,83.7297,13
41,GaN,0.0,Ga1 N1,1.23,0.5,83.7297,13
42,BN,4.825699999999999,B1 N1,1.0,0.5,24.817700000000002,13
43,GaN,0.07529999999999992,Ga1 N1,1.23,0.5,83.7297,13
44,GaN,0.04870000000000019,Ga1 N1,1.23,0.5,83.7297,13
45,InN,0.0,In1 N1,1.26,0.5,128.8247,13
46,GaN,0.15569999999999995,Ga1 N1,1.23,0.5,83.7297,13
47,GaN,0.0,Ga1 N1,1.23,0.5,83.7297,13
48,AlN,3.268700000000001,Al1 N1,1.43,0.5,40.9882386,13
49,GaN,0.03270000000000006,Ga1 N1,1.23,0.5,83.7297,13
50,GaN,0.00010000000000021103,Ga1 N1,1.23,0.5,83.7297,13
51,GaN,0.0,Ga1 N1,1.23,0.5,83.7297,13
52,BN,1.5638999999999998,B1 N1,1.0,0.5,24.817700000000002,13
53,TlN,0.0,Tl1 N1,1.42,0.5,218.39,13
54,BN,1.6493,B1 N1,1.0,0.5,24.817700000000002,13
55,GaN,0.0,Ga1 N1,1.23,0.5,83.7297,13
56,TlN,0.08499999999999996,Tl1 N1,1.42,0.5,218.39,13
57,BN,4.422000000000001,B1 N1,1.0,0.5,24.817700000000002,13
58,BN,1.6009000000000002,B1 N1,1.0,0.5,24.817700000000002,13
59,B13N2,0.0,B13 N2,20.439999999999998,0.8666666666666667,168.5564,13
60,GaN,0.019500000000000295,Ga1 N1,1.23,0.5,83.7297,13
